Application_Academic_Year,n_applicants,n_selected,selection_rate,n_furthest,n_furthest_selected,furthest_share,furthest_per_slot,log_furthest_per_slot,furthest_pool_share
2019-20,1434,552,0.38493723849372385,704,397,0.7192028985507246,1.2753623188405796,0.24323030988094702,0.4909344490934449
2020-21,1390,557,0.40071942446043163,643,376,0.6750448833034112,1.1543985637342908,0.14357948431033535,0.46258992805755395
2021-22,1409,634,0.44996451383960256,626,414,0.6529968454258676,0.9873817034700315,-0.012698583337127431,0.44428672817601134
2022-23,1565,1205,0.7699680511182109,750,637,0.5286307053941909,0.6224066390041494,-0.4741616393943992,0.4792332268370607
2023-24,1725,1301,0.7542028985507246,829,679,0.5219062259800153,0.6372021521906226,-0.4506683233772103,0.48057971014492756
2024-25,1770,1275,0.7203389830508474,848,724,0.567843137254902,0.6650980392156862,-0.4078208218006235,0.47909604519774013
2025-26,1728,1275,0.7378472222222222,852,776,0.6086274509803922,0.668235294117647,-0.4031149307632108,0.4930555555555556
